company,year,Price,kms_driven,fuel_type,model
Honda,2013,284999,46000,Diesel,Amaze
Honda,2012,399999,45000,Petrol,City
Honda,2015,599999,39000,Diesel,City
Honda,2015,344999,22000,Petrol,Amaze
Audi,2009,699000,47000,Petrol,A4 1.8
Force,2015,580000,3200,Diesel,Motors Force
Mahindra,2015,855000,30000,Diesel,Scorpio S4
Hyundai,2015,535000,37000,Diesel,i20 Active
Mini,2013,1891111,13000,Petrol,Cooper S
Maruti,2017,699000,14000,Petrol,Suzuki Ciaz
Chevrolet,2013,375000,55000,Diesel,Tavera Neo
Honda,2013,284999,46000,Diesel,Amaze
Hyundai,2012,178000,30000,Petrol,Eon Sportz
Tata,2013,300000,50000,Diesel,Sumo Gold
Maruti,2003,90000,45000,Petrol,Suzuki Wagon
Maruti,2006,95000,45000,Petrol,Suzuki Esteem
Maruti,2015,255000,9300,Petrol,Suzuki Eeco
Chevrolet,2013,245000,55000,Diesel,Enjoy 1.4
Hyundai,2012,329500,36200,Diesel,i20 Asta
Ford,2014,195000,50000,Diesel,Figo Diesel
Maruti,2015,251111,55000,Petrol,Suzuki Eeco
Maruti,2014,569999,45000,Petrol,Suzuki Ertiga
Maruti,2007,69999,51000,Petrol,Suzuki Esteem
Maruti,2014,299999,19000,Petrol,Suzuki Ritz
Maruti,2009,220000,46000,Petrol,Suzuki Dzire
Maruti,2013,399999,33000,Diesel,Suzuki Ritz
Maruti,2010,249999,36000,Petrol,Suzuki SX4
Maruti,2015,289999,22000,Petrol,Suzuki Wagon
Mini,2013,1891111,13500,Petrol,Cooper S
Nissan,2015,499999,60000,Diesel,Terrano XL
Renault,2013,489999,27000,Diesel,Duster 85
Renault,2014,489999,59000,Diesel,Duster 85
Renault,2015,549999,19000,Diesel,Duster 85
Maruti,2013,380000,30000,Petrol,Suzuki Dzire
Renault,2018,325000,15000,Petrol,Kwid RXT
Maruti,2003,57000,56758,Petrol,Suzuki Maruti
Renault,2018,349999,10000,Petrol,Kwid 1.0
Renault,2018,689999,20000,Diesel,Lodgy 85
Renault,2014,349999,49000,Diesel,Scala RxL
Hyundai,2014,410000,41000,Petrol,Grand i10
Maruti,2011,225000,45000,Petrol,Suzuki Swift
Chevrolet,2010,120000,43000,Petrol,Beat LS
Tata,2016,320000,175430,Diesel,Indigo eCS
Hyundai,2000,59000,56450,Petrol,Santro Xing
Hyundai,2015,540000,38000,Diesel,Fluidic Verna
Chevrolet,2010,80000,56000,Petrol,Beat LS
Mahindra,2013,340000,37000,Diesel,Quanto C8
Fiat,2008,75000,65000,Petrol,Petra ELX
Chevrolet,2015,220000,32700,Petrol,Beat LS
Skoda,2011,159500,38200,Diesel,Fabia 1.2L
Ford,2016,599000,30000,Diesel,EcoSport Titanium
Hyundai,2006,80000,56000,Petrol,Accent GLX
Mahindra,2016,675000,9000,Diesel,TUV300 T4
Mini,2013,1891111,13000,Petrol,Cooper S
Mini,2013,1891111,13000,Petrol,Cooper S
Tata,2008,150000,11000,Petrol,Indica V2
Mini,2013,1891111,13000,Petrol,Cooper S
Tata,2009,72500,46000,Diesel,Indigo CS
Maruti,2019,610000,73,Petrol,Suzuki Swift
Mahindra,2004,230000,160000,Diesel,Scorpio VLX
Honda,2009,175000,58559,Petrol,Accord
Mahindra,2015,855000,30000,Diesel,Scorpio S4
Chevrolet,2013,375000,55000,Diesel,Tavera Neo
Ford,2014,520000,57000,Diesel,EcoSport Titanium
Maruti,2015,524999,50000,Diesel,Suzuki Ertiga
Honda,2014,299999,37000,Petrol,Amaze
Maruti,2012,299999,40000,Petrol,Suzuki Dzire
Honda,2011,284999,55000,Petrol,City
Mahindra,2007,220000,170000,Diesel,Scorpio 2.6
Maruti,2014,424999,55000,Diesel,Suzuki Dzire
Honda,2015,644999,39000,Petrol,City
Honda,2014,399999,44000,Petrol,Mobilio
Toyota,2009,199999,65000,Petrol,Corolla Altis
Honda,2014,584999,39000,Petrol,City
Skoda,2012,349999,44000,Diesel,Laura
Renault,2015,449999,49000,Diesel,Duster
Maruti,2018,799999,9000,Diesel,Suzuki Ertiga
Maruti,2015,444999,45000,Diesel,Suzuki Dzire
Mahindra,2014,649999,47000,Diesel,XUV500
Hyundai,2012,444999,40000,Diesel,Verna Fluidic
Maruti,2016,689999,29000,Diesel,Suzuki Vitara
Maruti,2016,344999,15000,Petrol,Suzuki Wagon
Mahindra,2015,944999,45000,Diesel,Scorpio
Honda,2014,274999,35000,Petrol,Amaze
Mahindra,2013,689999,80000,Diesel,XUV500
Mahindra,2013,574999,68000,Diesel,Scorpio
Skoda,2013,374999,50000,Diesel,Laura
Volkswagen,2010,199999,60000,Diesel,Polo
Hyundai,2016,549999,9000,Petrol,Elite i20
Tata,2012,130000,72000,Diesel,Manza Aura
Chevrolet,2013,210000,60000,Petrol,Sail UVA
Renault,2012,501000,38000,Diesel,Duster 110
Hyundai,2013,401000,45000,Diesel,Verna Fluidic
Audi,2012,1350000,40000,Diesel,A4 2.0
Hyundai,2013,600000,20000,Petrol,Elantra SX
Mahindra,2013,610000,35000,Diesel,Scorpio VLX
Mahindra,2016,400000,20000,Diesel,KUV100 K8
Renault,2015,375000,25000,Diesel,Scala RxL
Mahindra,2013,375000,20000,Diesel,Quanto C8
Hyundai,2014,365000,20000,Petrol,Grand i10
Hyundai,2015,500000,18000,Petrol,i20 Active
Mahindra,2012,400000,35000,Diesel,Xylo E4
Hyundai,2017,524999,6821,Petrol,Grand i10
Hyundai,2014,449999,23000,Petrol,i20
Hyundai,2014,174999,14000,Petrol,Eon
Hyundai,2012,244999,38000,Petrol,i10
Hyundai,2015,574999,35000,Diesel,i20 Active
Datsun,2017,244999,22000,Petrol,Redi GO
Toyota,2011,239999,41000,Petrol,Etios Liva
Hyundai,2010,99999,45000,Petrol,Accent
Hyundai,2014,489999,44000,Diesel,Verna
Maruti,2013,324999,45000,Diesel,Suzuki Swift
Toyota,2011,1074999,52000,Diesel,Fortuner
Hyundai,2012,230000,34000,Petrol,i10 Sportz
Mahindra,2018,699000,1800,Diesel,Bolero Power
Mahindra,2015,1000000,15000,Diesel,XUV500
Honda,2010,240000,400000,Petrol,City 1.5
Chevrolet,2009,110000,44000,Petrol,Spark LT
Mahindra,2019,390000,60,Diesel,Jeep MM
Renault,2012,501000,35000,Diesel,Duster 110PS
Mahindra,2016,1130000,72000,Diesel,XUV500
Tata,2014,250000,40000,Diesel,Indigo eCS
Mahindra,2013,330000,80200,Diesel,Bolero SLE
Force,2015,580000,3200,Diesel,Motors Force
Skoda,2013,340000,48000,Diesel,Rapid Elegance
Tata,2011,120000,90000,Diesel,Vista Quadrajet
Maruti,2015,265000,12000,Petrol,Suzuki Alto
Maruti,2012,265000,46000,Diesel,Suzuki SX4
Maruti,2003,85000,69900,Petrol,Suzuki Zen
Mahindra,2019,379000,0,Diesel,Jeep CL550
Hyundai,2011,175000,45000,Petrol,i10 Magna
Maruti,2015,219000,5000,Petrol,Suzuki Alto
Maruti,2016,350000,166000,Diesel,Suzuki Swift
Honda,2008,149000,42000,Petrol,City ZX
Mahindra,2018,385000,588,Diesel,Jeep CL550
Mahindra,2006,425000,122,Diesel,Jeep MM
Chevrolet,2017,150000,62000,Diesel,Beat Diesel
Honda,2010,225000,70000,Petrol,City 1.5
Hyundai,2014,375000,36000,Petrol,Verna 1.4
Toyota,2012,770000,0,Diesel,Innova 2.5
Maruti,1995,30000,55000,Petrol,Suzuki Maruti
Toyota,2011,275000,36000,Diesel,Etios
Volkswagen,2015,330000,38000,Diesel,Polo
Maruti,2014,335000,55000,Diesel,Suzuki Swift
Hyundai,2015,450000,20000,Diesel,Elite i20
Maruti,2012,225000,40000,Petrol,Suzuki Swift
Maruti,2004,80000,50000,Petrol,Suzuki Versa
Tata,2016,130000,104000,Diesel,Indigo LX
Volkswagen,2011,245000,65000,Diesel,Vento Konekt
Mercedes,2002,399000,41000,Petrol,Benz C
Maruti,2013,450000,90000,Diesel,Suzuki Ertiga
Honda,2000,65000,80000,Petrol,City
Hyundai,2006,75000,46000,Petrol,Santro Xing
Maruti,2001,70000,70000,Petrol,Suzuki Omni
Hyundai,2017,190000,36469,Diesel,Sonata Transform
Hyundai,2018,600000,7800,Petrol,Elite i20
Volkswagen,2011,245000,65000,Diesel,Vento Konekt
Maruti,2017,240000,60000,Petrol,Suzuki Alto
Maruti,2011,155000,32000,Petrol,Suzuki Alto
Honda,2009,169999,24695,Petrol,Jazz S
Hyundai,2017,450000,15141,Petrol,Grand i10
Maruti,2001,40000,40000,Petrol,Suzuki Zen
Mahindra,2012,165000,65000,Diesel,Scorpio W
Maruti,2014,270000,22000,Petrol,Suzuki Alto
Hyundai,2016,280000,59910,Diesel,Grand i10
Mahindra,2012,560000,100000,Diesel,XUV500 W8
Hyundai,2016,950000,25000,Petrol,Creta 1.6
Hyundai,2013,310000,35000,Petrol,i20 Magna
Renault,2015,715000,65000,Diesel,Duster 85
Hyundai,2014,340000,35000,Petrol,Grand i10
Honda,2012,235000,33000,Petrol,Brio V
Mahindra,2017,610000,68000,Diesel,TUV300 T4
Chevrolet,2010,95000,23000,Petrol,Spark LS
Mahindra,2018,1000000,4500,Diesel,TUV300 T8
Maruti,2015,220000,129000,Diesel,Suzuki Swift
Nissan,2019,1200000,300,Diesel,X Trail
Maruti,2015,230000,5000,Petrol,Suzuki Alto
Ford,2001,45000,65000,Petrol,Ikon 1.3
Toyota,2010,940000,131000,Diesel,Fortuner 3.0
Tata,2010,155555,111111,Petrol,Manza ELAN
Mercedes,2013,1500000,14000,Petrol,Benz A
Chevrolet,2016,210000,22000,Diesel,Beat LS
Ford,2013,495000,38000,Diesel,EcoSport Trend
Tata,2016,125000,70000,Diesel,Indigo LS
Hyundai,2010,195000,36000,Petrol,i20 Magna
Volkswagen,2015,550000,34000,Diesel,Vento Highline
Renault,2015,270000,43000,Petrol,Kwid RXT
Ford,2014,500000,40000,Diesel,EcoSport Titanium
Honda,2016,240000,160000,Diesel,Amaze 1.5
Hyundai,2017,800000,12000,Petrol,Verna 1.6
BMW,2011,1299000,49000,Diesel,5 Series
Skoda,2011,530000,68000,Petrol,Superb 1.8
Audi,2013,1499000,37000,Diesel,Q3 2.0
Mahindra,2012,220000,59466,Diesel,Bolero DI
Mahindra,2015,900000,97200,Diesel,Scorpio S10
Ford,2012,250000,99000,Diesel,Figo Duratorq
Maruti,2018,395000,25500,Petrol,Suzuki Wagon
Mahindra,2009,130000,66000,Petrol,Logan Diesel
Tata,2010,32000,44005,Petrol,Nano GenX
Mahindra,2016,540000,35000,Diesel,TUV300 T4
Mahindra,2016,540000,35000,Diesel,TUV300 T4
Hyundai,2015,405000,28000,Petrol,Elite i20
Hyundai,2015,400000,30000,Petrol,Elite i20
Honda,2017,760000,4000,Petrol,City SV
Maruti,2016,500000,28000,Petrol,Suzuki Baleno
Ford,2011,175000,75000,Petrol,Figo Petrol
Mahindra,2015,900000,97200,Diesel,Scorpio S10
Honda,2017,750000,3000,Petrol,City
Hyundai,2015,419000,20000,Petrol,Elite i20
Maruti,2004,90000,50000,Petrol,Suzuki Versa
Hyundai,2018,140000,2110,Petrol,Eon Era
Mitsubishi,2015,1540000,43222,Petrol,Pajero Sport
Hyundai,2008,275000,100200,Petrol,i10 Magna
Toyota,2003,150000,100000,Petrol,Corolla H2
Maruti,2011,230000,65,Petrol,Suzuki Swift
Tata,2015,123000,100000,Diesel,Indigo CS
Mahindra,2015,900000,97200,Diesel,Scorpio S10
Mahindra,2015,900000,97200,Diesel,Scorpio S10
Hyundai,2016,300000,140000,Diesel,Xcent Base
Honda,2015,499999,55000,Petrol,City
Hyundai,2009,165000,48000,Petrol,Accent Executive
Maruti,2016,498000,22000,Petrol,Suzuki Baleno
Tata,2018,480000,103553,Diesel,Zest XE
Maruti,2017,488000,80000,Diesel,Suzuki Dzire
Tata,2014,250000,99000,Diesel,Sumo Gold
Toyota,2010,220000,58000,Petrol,Corolla Altis
Maruti,2013,290000,70000,LPG,Suzuki Eeco
Toyota,2015,1525000,120000,Diesel,Fortuner 3.0
Mahindra,2013,548900,49800,Diesel,XUV500 W6
Tata,2019,650000,100,Diesel,Tigor Revotron
Maruti,2001,55000,81876,Petrol,Suzuki 800
Maruti,2015,550000,75000,Petrol,Suzuki Ertiga
Maruti,2004,90000,50000,Petrol,Suzuki Versa
Honda,2014,399000,44000,Diesel,Mobilio S
Maruti,2016,730000,55000,Diesel,Suzuki Ertiga
Maruti,2017,725000,36000,Diesel,Suzuki Vitara
Hyundai,2016,195000,56000,Diesel,Verna 1.6
Maruti,2007,130000,62000,Petrol,Suzuki Swift
Toyota,2015,1525000,120000,Diesel,Fortuner 3.0
Maruti,2014,190000,6020,Petrol,Suzuki Omni
Honda,2013,250000,55700,Diesel,Amaze
Tata,2005,80000,42000,Petrol,Indica
Hyundai,2003,120000,50000,Petrol,Santro Xing
Maruti,2010,149000,35000,Petrol,Suzuki Zen
Maruti,2014,250000,18500,Petrol,Suzuki Wagon
Maruti,2007,120000,7000,Petrol,Suzuki Wagon
Honda,2017,450000,11000,Petrol,Brio VX
Maruti,2003,99999,53000,Petrol,Suzuki Zen
Maruti,2008,135000,23000,Petrol,Suzuki Zen
Maruti,2016,225000,35500,Diesel,Suzuki Wagon
Maruti,2010,99000,22134,Petrol,Suzuki Alto
Renault,2019,370000,1000,Petrol,Kwid RXT
Tata,2010,52000,9000,Petrol,Nano Lx
Jaguar,2016,2800000,8500,Petrol,XE XE
Hyundai,2014,190000,35000,Petrol,Eon Magna
Honda,2014,499000,22000,Petrol,City 1.5
Hindustan,2002,90000,25000,Diesel,Motors Ambassador
Maruti,2010,149000,40000,Petrol,Suzuki Ritz
Hyundai,2017,400000,20000,Petrol,Grand i10
Hyundai,2016,120000,87000,Petrol,Eon D
Maruti,2015,250000,55000,Petrol,Suzuki Swift
Maruti,2017,375000,23000,Petrol,Suzuki Wagon
Honda,2014,381000,6000,Petrol,Amaze 1.2
Maruti,2013,180000,65000,Petrol,Suzuki Estilo
Maruti,2016,580000,25000,Diesel,Suzuki Vitara
Maruti,2015,278000,39000,Petrol,Suzuki Eeco
Hyundai,2016,1000000,8000,Petrol,Creta 1.6
Mahindra,2013,690000,75000,Diesel,Scorpio Vlx
Maruti,2012,480000,51000,Diesel,Suzuki Ertiga
Mitsubishi,2006,85000,50000,Petrol,Lancer 1.8
Maruti,2001,40000,75000,Petrol,Suzuki Maruti
Maruti,2015,90000,55800,Petrol,Suzuki Alto
Hyundai,2015,340000,53000,Petrol,Grand i10
Hyundai,2018,260000,25000,Petrol,Eon D
Ford,2009,250000,56400,Petrol,Fiesta SXi
Maruti,2010,180000,72160,Diesel,Suzuki Ritz
Hyundai,2012,350000,10000,Diesel,Verna Fluidic
Maruti,2006,90001,48000,Petrol,Suzuki Wagon
Maruti,2007,115000,36000,Petrol,Suzuki Estilo
Audi,2012,1599000,11500,Diesel,A6 2.0
Maruti,2003,130000,133000,Petrol,Suzuki Wagon
Maruti,2009,159000,27000,Petrol,Suzuki Wagon
Maruti,2009,160000,35000,Petrol,Suzuki Wagon
Maruti,2010,110000,55000,Petrol,Suzuki Alto
Maruti,2016,425000,40000,Petrol,Suzuki Baleno
Hyundai,2019,900000,2000,Petrol,Verna 1.6
Maruti,2009,150000,45000,Petrol,Suzuki Swift
Hyundai,2009,110000,20000,Petrol,Getz Prime
Hyundai,2000,51999,88000,Petrol,Santro
Hyundai,2009,115000,20000,Petrol,Getz Prime
